dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,categories,updated_on,source,all_topics,dimensions
BankCreditAndDeposits,BankDeposits,YoY,IN,0.09693763318893733,,2019-11-22,,Percentage,MacroSearchEngine,True,{},2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[YoY][IN][BankCreditAndDeposits][BankDeposits],
BankCreditAndDeposits,BankDeposits,Value,IN,13317340000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""DemandDeposits"": ""SubcategoryOfBankDeposits""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[Value][BankDeposits][DemandDeposits][IN][BankCreditAndDeposits],[DemandDeposits]
BankCreditAndDeposits,BankDeposits,YoY,IN,0.08627673614679732,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""DemandDeposits"": ""SubcategoryOfBankDeposits""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[YoY][BankDeposits][DemandDeposits][IN][BankCreditAndDeposits],[DemandDeposits]
BankCreditAndDeposits,BankDeposits,Value,IN,116270200000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""TimeDeposits"": ""SubcategoryOfBankDeposits""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[Value][BankDeposits][TimeDeposits][IN][BankCreditAndDeposits],[TimeDeposits]
BankCreditAndDeposits,BankDeposits,YoY,IN,0.09817219389718801,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""TimeDeposits"": ""SubcategoryOfBankDeposits""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[YoY][BankDeposits][TimeDeposits][IN][BankCreditAndDeposits],[TimeDeposits]
BankCreditAndDeposits,BankCredit,Value,IN,98609160000000.0,,2019-11-22,,INR,MacroSearchEngine,True,{},2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[BankCredit][BankCreditAndDeposits][Value][IN],
BankCreditAndDeposits,BankCredit,YoY,IN,0.07974583873840468,,2019-11-22,,Percentage,MacroSearchEngine,True,{},2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[IN][BankCredit][BankCreditAndDeposits][YoY],
BankCreditAndDeposits,BankCredit,Value,IN,913040000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""FoodCredit"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[FoodCredit][Value][IN][BankCredit][BankCreditAndDeposits],[FoodCredit]
BankCreditAndDeposits,BankCredit,YoY,IN,0.26305887560867647,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""FoodCredit"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[FoodCredit][BankCredit][YoY][IN][BankCreditAndDeposits],[FoodCredit]
BankCreditAndDeposits,BankCredit,Value,IN,97696120000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""NonFoodCredit"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[Value][IN][NonFoodCredit][BankCredit][BankCreditAndDeposits],[NonFoodCredit]
BankCreditAndDeposits,BankCredit,YoY,IN,0.07828327394813805,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""NonFoodCredit"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[BankCredit][YoY][NonFoodCredit][IN][BankCreditAndDeposits],[NonFoodCredit]
BankCreditAndDeposits,BankCredit,Value,IN,96628190000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""LoansCashCreditAndOverdraft"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[Value][BankCreditAndDeposits][IN][BankCredit][LoansCashCreditAndOverdraft],[LoansCashCreditAndOverdraft]
BankCreditAndDeposits,BankCredit,YoY,IN,0.08318010507368911,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""LoansCashCreditAndOverdraft"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[BankCredit][BankCreditAndDeposits][YoY][IN][LoansCashCreditAndOverdraft],[LoansCashCreditAndOverdraft]
BankCreditAndDeposits,BankCredit,Value,IN,236220000000.0,,2019-11-22,,INR,MacroSearchEngine,False,"{""InlandBillsPurchased"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[Value][InlandBillsPurchased][IN][BankCredit][BankCreditAndDeposits],[InlandBillsPurchased]
BankCreditAndDeposits,BankCredit,YoY,IN,0.2210276026051896,,2019-11-22,,Percentage,MacroSearchEngine,False,"{""InlandBillsPurchased"": ""SubcategoryOfBankCredit""}",2019-12-06,https://rbi.org.in/Scripts/WSSView.aspx?Id=23406,[BankCredit][InlandBillsPurchased][YoY][IN][BankCreditAndDeposits],[InlandBillsPurchased]
