period_end,updated_on,label,codetype,code,CPI,CPI_YoY,weight,lower_label,region
2025-07-31,2025-08-12,"Electric Iron, Heater, Toaster, Oven & Other Electric Heating Appliances",item_code,6.1.01.3.1.09.X,169.6,14.36,0.00232,"electric iron, heater, toaster, oven & other electric heating appliances",
2025-07-31,2025-08-12,Electricity (std. Unit),item_code,5.1.01.1.1.01.0,165.9,2.28,2.26042,electricity (std. unit),
2025-07-31,2025-08-12,Family Planning Devices,item_code,6.1.02.2.1.03.X,219.1,0.69,0.00021,family planning devices,
2025-07-31,2025-08-12,Firewood and Chips,item_code,5.1.01.4.1.02.0,181.5,2.43,2.06755,firewood and chips,
2025-07-31,2025-08-12,"Fish, Prawn",item_code,1.1.02.2.1.01.X,223.3,4.25,1.26713,"fish, prawn",
2025-07-31,2025-08-12,Flower (fresh): All Purposes,item_code,6.1.01.6.1.06.0,219.1,5.18,0.09094,flower (fresh): all purposes,
2025-07-31,2025-08-12,Foreign/refined Liquor or Wine (litre),item_code,2.1.01.1.1.02.0,210.3,3.49,0.40344,foreign/refined liquor or wine (litre),
2025-07-31,2025-08-12,"Frocks, Skirts, etc. (no.)",item_code,3.1.01.1.1.10.0,206.4,2.64,0.15122,"frocks, skirts, etc. (no.)",
2025-07-31,2025-08-12,Fruit Juice and Shake (litre),item_code,1.2.11.2.1.03.X,166.8,3.09,0.05149,fruit juice and shake (litre),
2025-07-31,2025-08-12,"Gamchha, Towel, Handkerchief (no.)",item_code,3.1.01.3.1.08.X,192.8,1.53,0.17775,"gamchha, towel, handkerchief (no.)",
2025-07-31,2025-08-12,Garlic (gm),item_code,1.1.07.1.1.05.0,217.0,-38.7,0.31022,garlic (gm),
2025-07-31,2025-08-12,Ghee,item_code,1.1.05.2.1.01.0,202.1,3.53,0.47445,ghee,
2025-07-31,2025-08-12,Ginger (gm),item_code,1.1.07.1.1.06.0,167.2,-49.79,0.19177,ginger (gm),
2025-07-31,2025-08-12,Glassware,item_code,6.1.01.4.1.07.0,159.9,6.53,0.00143,glassware,
2025-07-31,2025-08-12,Goat Meat/mutton,item_code,1.1.02.1.1.01.0,256.6,3.89,0.79377,goat meat/mutton,
2025-07-31,2025-08-12,Gold,item_code,6.1.06.2.1.01.0,326.8,36.0,1.08035,gold,
2025-07-31,2025-08-12,Goods for Recreation and Hobbies,item_code,6.1.04.1.1.11.0,243.8,14.14,0.00156,goods for recreation and hobbies,
2025-07-31,2025-08-12,"Gourd, Pumpkin",item_code,1.1.07.3.1.08.X,188.1,-9.7,0.23613,"gourd, pumpkin",
2025-07-31,2025-08-12,Gram Products,item_code,1.1.08.2.1.01.0,196.6,1.44,0.02327,gram products,
2025-07-31,2025-08-12,Gram: Split,item_code,1.1.08.1.1.02.0,174.0,-2.41,0.19899,gram: split,
2025-07-31,2025-08-12,Gram: Whole,item_code,1.1.08.1.1.03.0,183.4,-1.77,0.0948,gram: whole,
2025-07-31,2025-08-12,Grapes,item_code,1.1.06.1.1.17.0,191.6,11.27,0.1534,grapes,
2025-07-31,2025-08-12,Green Chillies,item_code,1.1.07.3.1.05.0,212.6,-7.53,0.2789,green chillies,
2025-07-31,2025-08-12,Green Coconut (no.),item_code,1.1.06.1.1.06.0,343.0,16.04,0.04587,green coconut (no.),
2025-07-31,2025-08-12,Grinding Charges,item_code,1.1.01.3.2.01.0,185.7,3.34,0.3242,grinding charges,
2025-07-31,2025-08-12,Groundnut,item_code,1.1.06.2.1.02.0,169.1,-4.03,0.28769,groundnut,
2025-07-31,2025-08-12,Groundnut Oil,item_code,1.1.05.1.1.02.0,170.7,-2.18,0.33277,groundnut oil,
2025-07-31,2025-08-12,Guava,item_code,1.1.06.1.1.07.0,262.2,11.05,0.08133,guava,
2025-07-31,2025-08-12,Gur,item_code,1.1.09.1.1.03.0,170.2,3.09,0.10303,gur,
2025-07-31,2025-08-12,"Hair Oil, Shampoo, Hair Cream",item_code,6.1.06.1.1.04.X,164.6,4.71,0.45016,"hair oil, shampoo, hair cream",
2025-07-31,2025-08-12,"Headwear, Belts, Ties (no.)",item_code,3.1.01.3.1.09.X,187.1,-5.51,0.01145,"headwear, belts, ties (no.)",
2025-07-31,2025-08-12,Honey,item_code,1.1.09.2.1.02.0,171.0,2.76,0.00327,honey,
2025-07-31,2025-08-12,Hookah Tobacco (gm),item_code,2.1.01.3.1.05.0,199.1,2.58,0.00581,hookah tobacco (gm),
2025-07-31,2025-08-12,Hospital & Nursing Home Charges,item_code,6.1.02.1.2.05.X,231.4,6.59,0.44057,hospital & nursing home charges,
2025-07-31,2025-08-12,Hotel Lodging Charges,item_code,6.1.04.2.2.07.0,177.1,1.66,0.00904,hotel lodging charges,
2025-07-31,2025-08-12,"House Rent, Garage Rent",item_code,4.1.01.1.2.01.X,184.7,3.01,9.51042,"house rent, garage rent",
2025-07-31,2025-08-12,Ice-cream,item_code,1.1.09.3.1.01.0,158.8,2.65,0.01163,ice-cream,
2025-07-31,2025-08-12,"Incense (agarbatti), Room Freshener",item_code,6.1.01.6.1.05.X,167.6,1.45,0.2037,"incense (agarbatti), room freshener",
2025-07-31,2025-08-12,Ingredients for Pan (gm),item_code,2.1.01.2.1.03.X,230.1,1.72,0.13113,ingredients for pan (gm),
2025-07-31,2025-08-12,Internet Expenses,item_code,6.1.03.5.2.03.0,143.3,2.36,0.08004,internet expenses,
2025-07-31,2025-08-12,Inverter,item_code,6.1.01.3.1.02.0,160.0,2.7,0.04317,inverter,
2025-07-31,2025-08-12,Jackfruit,item_code,1.1.06.1.1.02.0,158.3,-18.53,0.00414,jackfruit,
2025-07-31,2025-08-12,Jeera (gm),item_code,1.1.10.1.1.02.0,219.3,-15.88,0.37183,jeera (gm),
2025-07-31,2025-08-12,Jowar & its Products,item_code,1.1.01.2.1.01.X,216.4,-1.5,0.22633,jowar & its products,
2025-07-31,2025-08-12,Kerosene – Other Sources (litre),item_code,5.1.01.3.1.02.0,256.0,0.16,0.20712,kerosene – other sources (litre),
2025-07-31,2025-08-12,Kerosene – PDS (litre),item_code,5.1.01.3.1.01.P,331.2,-6.26,0.34162,kerosene – pds (litre),
2025-07-31,2025-08-12,Khesari,item_code,1.1.08.1.1.08.0,210.4,2.83,0.01151,khesari,
2025-07-31,2025-08-12,Knitting Wool (gm),item_code,3.1.01.2.1.02.0,158.7,-3.88,0.00029,knitting wool (gm),
2025-07-31,2025-08-12,Kurta-pajama Suits: Females (no.),item_code,3.1.01.1.1.09.0,189.9,2.98,0.22295,kurta-pajama suits: females (no.),
2025-07-31,2025-08-12,Kurta-pajama Suits: Males (no.),item_code,3.1.01.1.1.05.0,193.3,1.68,0.0553,kurta-pajama suits: males (no.),
2025-07-31,2025-08-12,Lady's Finger,item_code,1.1.07.3.1.06.0,172.3,-1.77,0.28287,lady's finger,
2025-07-31,2025-08-12,Leaf Tobacco (gm),item_code,2.1.01.3.1.03.0,204.6,3.18,0.0999,leaf tobacco (gm),
2025-07-31,2025-08-12,"Leather Boots, Shoes",item_code,3.1.02.1.1.01.X,185.9,2.26,0.20891,"leather boots, shoes",
2025-07-31,2025-08-12,"Leather Sandals, Chappals, etc.",item_code,3.1.02.1.1.02.X,187.4,2.18,0.18209,"leather sandals, chappals, etc.",
2025-07-31,2025-08-12,Lemon (no.),item_code,1.1.07.3.1.11.0,157.3,-13.0,0.12705,lemon (no.),
2025-07-31,2025-08-12,Lighter (bidi/ Cigarette/ Gas Stove),item_code,6.1.06.1.1.12.X,122.8,-1.76,0.00029,lighter (bidi/ cigarette/ gas stove),
2025-07-31,2025-08-12,Lock,item_code,6.1.01.5.1.05.0,195.6,8.49,0.0014,lock,
2025-07-31,2025-08-12,LPG [excl. Conveyance],item_code,5.1.01.2.1.01.X,192.5,6.0,1.28621,lpg [excl. conveyance],
2025-07-31,2025-08-12,Lubricants & Other Fuels for Vehicle,item_code,6.1.03.2.1.03.X,167.7,3.14,0.05002,lubricants & other fuels for vehicle,
2025-07-31,2025-08-12,Lungi (no.),item_code,3.1.01.1.1.04.0,193.3,1.63,0.11463,lungi (no.),
2025-07-31,2025-08-12,Maida,item_code,1.1.01.1.1.09.0,206.5,7.89,0.03112,maida,
2025-07-31,2025-08-12,Maize & Products,item_code,1.1.01.2.1.03.X,222.5,7.44,0.05711,maize & products,
2025-07-31,2025-08-12,Mango,item_code,1.1.06.1.1.11.0,146.3,-13.12,0.32017,mango,
2025-07-31,2025-08-12,Masur,item_code,1.1.08.1.1.05.0,171.4,-2.89,0.30213,masur,
2025-07-31,2025-08-12,Matches (box),item_code,6.1.01.6.1.08.0,144.3,1.33,0.08463,matches (box),
2025-07-31,2025-08-12,Medicine (non-institutional),item_code,6.1.02.2.1.01.X,202.0,4.77,4.01148,medicine (non-institutional),
2025-07-31,2025-08-12,Milk: Condensed/ Powder,item_code,1.1.04.2.1.02.X,183.3,1.5,0.04114,milk: condensed/ powder,
2025-07-31,2025-08-12,Milk: Liquid (litre),item_code,1.1.04.1.1.01.X,191.1,2.8,6.41886,milk: liquid (litre),
2025-07-31,2025-08-12,Mineral Water (litre),item_code,1.2.11.2.1.01.0,119.3,-0.17,0.01601,mineral water (litre),
2025-07-31,2025-08-12,Mobile Handset,item_code,6.1.03.4.1.01.0,128.1,0.16,0.13506,mobile handset,
2025-07-31,2025-08-12,Monthly Charges for Cable Tv Connection,item_code,6.1.04.2.2.02.0,176.5,2.92,0.82005,monthly charges for cable tv connection,
2025-07-31,2025-08-12,Monthly Maintainance Charges,item_code,6.1.01.7.2.05.0,168.9,1.26,0.03951,monthly maintainance charges,
2025-07-31,2025-08-12,Moong,item_code,1.1.08.1.1.04.0,176.3,-5.37,0.34532,moong,
2025-07-31,2025-08-12,Mosquito Net (no.),item_code,6.1.01.2.1.05.0,163.9,-0.24,0.01258,mosquito net (no.),
2025-07-31,2025-08-12,"Mosquito Repellent, Insecticide, Acid etc.",item_code,6.1.01.6.1.07.0,160.4,4.56,0.12291,"mosquito repellent, insecticide, acid etc.",
2025-07-31,2025-08-12,"Motor Car, Jeep",item_code,6.1.03.1.1.01.0,172.5,3.85,0.48053,"motor car, jeep",
2025-07-31,2025-08-12,"Motor Cycle, Scooter",item_code,6.1.03.1.1.02.X,197.5,3.84,0.79266,"motor cycle, scooter",
2025-07-31,2025-08-12,Muri,item_code,1.1.01.1.1.05.0,187.8,3.13,0.11109,muri,
2025-07-31,2025-08-12,Mustard Oil,item_code,1.1.05.1.1.01.0,185.4,19.92,1.32678,mustard oil,
2025-07-31,2025-08-12,"Newspapers, Periodicals",item_code,6.1.04.1.1.14.X,195.9,2.35,0.18135,"newspapers, periodicals",
2025-07-31,2025-08-12,Oilseeds (gm),item_code,1.1.10.1.1.09.0,209.7,1.6,0.09063,oilseeds (gm),
2025-07-31,2025-08-12,Onion,item_code,1.1.07.1.1.02.0,206.5,-34.86,0.64409,onion,
2025-07-31,2025-08-12,"Orange, Mausami (no.)",item_code,1.1.06.1.1.09.X,192.7,0.73,0.12518,"orange, mausami (no.)",
2025-07-31,2025-08-12,"Other Beverages: Cocoa, Chocolate, etc.",item_code,1.2.11.2.1.04.X,165.4,2.04,0.08627,"other beverages: cocoa, chocolate, etc.",
2025-07-31,2025-08-12,Other Cereals,item_code,1.1.01.1.1.15.0,185.5,0.49,0.00116,other cereals,
2025-07-31,2025-08-12,Other Consumer Services Excluding Conveyance,item_code,6.1.01.7.2.07.X,195.2,2.52,0.15721,other consumer services excluding conveyance,
2025-07-31,2025-08-12,Other Conveyance Expenses,item_code,6.1.03.2.2.04.0,194.9,-0.71,0.00985,other conveyance expenses,
2025-07-31,2025-08-12,Other Cooking/ Household Appliances,item_code,6.1.01.3.1.10.0,140.9,0.5,0.00539,other cooking/ household appliances,
2025-07-31,2025-08-12,Other Crockery & Utensils,item_code,6.1.01.4.1.05.0,195.5,5.5,0.01247,other crockery & utensils,
2025-07-31,2025-08-12,Other Dry Fruits,item_code,1.1.06.2.1.08.0,229.5,10.18,0.04598,other dry fruits,
2025-07-31,2025-08-12,Other Durables (specify)….,item_code,6.1.01.3.1.12.0,187.2,2.35,0.00432,other durables (specify)….,
2025-07-31,2025-08-12,Other Educational Expenses (incl. Fees for Enrollment in Web-based Training),item_code,6.1.05.2.2.03.0,177.2,3.75,0.04018,other educational expenses (incl. fees for enrollment in web-based training),
2025-07-31,2025-08-12,Other Entertainment,item_code,6.1.04.2.2.05.0,144.1,2.05,0.11324,other entertainment,
2025-07-31,2025-08-12,Other Footwear,item_code,3.1.02.1.1.05.0,185.0,3.01,0.17108,other footwear,
2025-07-31,2025-08-12,Other Fresh Fruits,item_code,1.1.06.1.1.18.0,220.7,11.35,0.11939,other fresh fruits,
2025-07-31,2025-08-12,Other Fuel,item_code,5.1.01.3.1.05.0,178.6,2.41,0.18412,other fuel,
2025-07-31,2025-08-12,"Other Furniture & Fixtures (couch, Sofa, Etc.)",item_code,6.1.01.1.1.06.0,176.5,3.28,0.02471,"other furniture & fixtures (couch, sofa, etc.)",
2025-07-31,2025-08-12,Other Intoxicants,item_code,2.1.01.1.1.05.0,205.3,8.62,0.07639,other intoxicants,
2025-07-31,2025-08-12,Other Leather Footwear,item_code,3.1.02.1.1.03.0,188.1,2.17,0.07541,other leather footwear,
2025-07-31,2025-08-12,Other Medical Expenses (non-institutional),item_code,6.1.02.2.2.06.0,166.7,0.6,0.11599,other medical expenses (non-institutional),
2025-07-31,2025-08-12,Other Metal Utensils,item_code,6.1.01.4.1.03.0,209.8,5.75,0.0127,other metal utensils,
2025-07-31,2025-08-12,Other Milk Products,item_code,1.1.04.2.1.04.0,184.7,3.18,0.02747,other milk products,
2025-07-31,2025-08-12,Other Nuts,item_code,1.1.06.2.1.06.0,196.4,9.05,0.01424,other nuts,
2025-07-31,2025-08-12,Other Ornaments,item_code,6.1.06.2.1.04.0,253.3,20.85,0.01157,other ornaments,
2025-07-31,2025-08-12,Other Packaged Processed Food,item_code,1.1.12.3.1.05.0,172.0,2.93,0.0782,other packaged processed food,
2025-07-31,2025-08-12,Other Petty Articles,item_code,6.1.01.6.1.10.0,228.9,3.48,0.15756,other petty articles,
2025-07-31,2025-08-12,Other Pulse Products,item_code,1.1.08.2.1.03.0,199.7,-0.05,0.03066,other pulse products,
2025-07-31,2025-08-12,Other Pulses,item_code,1.1.08.1.1.09.X,208.5,-3.16,0.08299,other pulses,
2025-07-31,2025-08-12,Other Rice Products,item_code,1.1.01.1.1.06.0,200.6,4.81,0.01765,other rice products,
2025-07-31,2025-08-12,"Others: Birds, Crab, Oyster, Tortoise, etc.",item_code,1.1.02.1.1.05.0,299.7,6.09,0.00557,"others: birds, crab, oyster, tortoise, etc.",
