dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories
CPI,CPI,YoY,IN,15.12,,2025-07-31,M,PERCENT,MacroSearchEngine,True,True,,[YoY][IN][Personal_Care][CPI],[Personal_Care],"{""Personal_Care"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.45,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Leisure][CPI],[Leisure],"{""Leisure"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.5,,2025-06-30,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Leisure][CPI],[Leisure],"{""Leisure"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,2.38,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Leisure][CPI],[Leisure],"{""Leisure"": ""ConsumptionCategory""}"
CPI,CPI,YoY,IN,1.27,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][Air Conditioner, Air Cooler][IN][CPI]","[Air Conditioner, Air Cooler]","{""Air Conditioner, Air Cooler"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,8.29,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Air Fare (normal): Economy Class(adult)][CPI],[Air Fare (normal): Economy Class(adult)],"{""Air Fare (normal): Economy Class(adult)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,2.39,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Almirah, Dressing Table][CPI]","[Almirah, Dressing Table]","{""Almirah, Dressing Table"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,1.25,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Any Other Personal Goods][CPI],[Any Other Personal Goods],"{""Any Other Personal Goods"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,19.27,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Apple][CPI],[Apple],"{""Apple"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-19.58,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Arhar, Tur][CPI]","[Arhar, Tur]","{""Arhar, Tur"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,4.64,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Baby Food][CPI],[Baby Food],"{""Baby Food"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,4.88,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][Bajra & its Products][IN][CPI],[Bajra & its Products],"{""Bajra & its Products"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,10.68,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Banana (no.)][CPI],[Banana (no.)],"{""Banana (no.)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,1.35,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Baniyan, Socks, Other Hosiery and Undergarments, Etc.(no.)][CPI]","[Baniyan, Socks, Other Hosiery and Undergarments, Etc.(no.)]","{""Baniyan, Socks, Other Hosiery and Undergarments, Etc.(no.)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,4.98,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Barber, Beautician, etc.][CPI]","[Barber, Beautician, etc.]","{""Barber, Beautician, etc."": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,3.33,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Bathroom and Sanitary Equipment][CPI],[Bathroom and Sanitary Equipment],"{""Bathroom and Sanitary Equipment"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,-8.29,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][IN][Beans, Barbati][CPI]","[Beans, Barbati]","{""Beans, Barbati"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,0.18,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][Bedding: Others][IN][CPI],[Bedding: Others],"{""Bedding: Others"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,2.59,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,"[YoY][Bed Sheet, Bed Cover (no.)][IN][CPI]","[Bed Sheet, Bed Cover (no.)]","{""Bed Sheet, Bed Cover (no.)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,3.57,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][Bedstead][IN][CPI],[Bedstead],"{""Bedstead"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,6.86,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Beef/ Buffalo Meat][CPI],[Beef/ Buffalo Meat],"{""Beef/ Buffalo Meat"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,6.07,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Beer (litre)][CPI],[Beer (litre)],"{""Beer (litre)"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,7.84,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Besan][CPI],[Besan],"{""Besan"": ""ConsumptionItem""}"
CPI,CPI,YoY,IN,1.34,,2025-05-31,M,PERCENT,MacroSearchEngine,False,True,,[YoY][IN][Bicycle(without Accessories)][CPI],[Bicycle(without Accessories)],"{""Bicycle(without Accessories)"": ""ConsumptionItem""}"
