dataset,ticker,metric,country,value,value_txt,period_end,period_span,unit,created_by,inter_country_comparison,as_reported,pfea,all_topics,dimensions,categories,updated_on
CPI,CPI,YoY,IN,-16.57,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Cabbage],[Cabbage],"{""Cabbage"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.94,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[IN][CPI][YoY][Candle (no.)],[Candle (no.)],"{""Candle (no.)"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,1.41,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Candy, Misri][YoY][IN]","[Candy, Misri]","{""Candy, Misri"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,16.76,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[IN][CPI][YoY][Carpet, Daree & Other Floor Mattings]","[Carpet, Daree & Other Floor Mattings]","{""Carpet, Daree & Other Floor Mattings"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,-7.41,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Carrot][YoY][IN],[Carrot],"{""Carrot"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,13.62,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[Cashewnut][CPI][YoY][IN],[Cashewnut],"{""Cashewnut"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,3.85,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[Cauliflower][CPI][YoY][IN],[Cauliflower],"{""Cauliflower"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,-4.2,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][CD, DVD, Audio/video Cassette, etc][YoY][IN]","[CD, DVD, Audio/video Cassette, etc]","{""CD, DVD, Audio/video Cassette, etc"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,-8.76,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[CPI][Cereal Substitutes: Tapioca, etc.][YoY][IN]","[Cereal Substitutes: Tapioca, etc.]","{""Cereal Substitutes: Tapioca, etc."": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.13,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,"[Chair, Stool, Bench, Table][CPI][YoY][IN]","[Chair, Stool, Bench, Table]","{""Chair, Stool, Bench, Table"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,2.38,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Charcoal][YoY][IN],[Charcoal],"{""Charcoal"": ""ConsumptionItem""}",2025-08-12
CPI,CPI,YoY,IN,9.06,,2025-07-31,M,PERCENT,MacroSearchEngine,False,True,,[CPI][Cheroot (no.)][YoY][IN],[Cheroot (no.)],"{""Cheroot (no.)"": ""ConsumptionItem""}",2025-08-12
